_id,Climate Scenario,Time Horizon,Distribution,ANNUAL_MEAN_TEMPERATURE,WINTER_MEAN_TEMPERATURE,SPRING_MEAN_TEMPERATURE,SUMMER_MEAN_TEMPERATURE,FALL_MEAN_TEMPERATURE,ANNUAL_MAXIMUM_TEMPERATURE,WINTER_MAXIMUM_TEMPERATURE,SPRING_MAXIMUM_TEMPERATURE,SUMMER_MAXIMUM_TEMPERATURE,FALL_MAXIMUM_TEMPERATURE,ANNUAL_MINIMUM_TEMPERATURE,WINTER_MINIMUM_TEMPERATURE,SPRING_MINIMUM_TEMPERATURE,SUMMER_MINIMUM_TEMPERATURE,FALL_MINIMUM_TEMPERATURE,DAYS_ABOVE_35C,DAYS_ABOVE_30C,DAYS_ABOVE_25C,DAYS_ABOVE_20C_TROPICAL_NIGHTS,HOTTEST_DAY_TEMPERATURE,TEMPERATURE_BASED_HEAT_WARNING_FREQUENCY,MAXIMUM_CONSECUTIVE_TEMPERATURE_BASED_HEAT_WARNING_DAYS,HUMIDEX_ABOVE_30,HUMIDEX_ABOVE_35,HUMIDEX_ABOVE_40,DAYS_BELOW_MINUS_20C,DAYS_BELOW_MINUS_10C,DAYS_BELOW_0C_FROST_DAYS,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS,ANNUAL_TOTAL_PRECIPITATION,WINTER_TOTAL_PRECIPITATION,SPRING_TOTAL_PRECIPITATION,SUMMER_TOTAL_PRECIPITATION,FALL_TOTAL_PRECIPITATION,MAXIMUM_1DAY_PRECIPITATION,MAXIMUM_3DAY_PRECIPITATION,SIMPLE_DAILY_INTENSITY_INDEX,95TH_PERCENTILE_PRECIPITATION,99TH_PERCENTILE_PRECIPITATION,MAXIMUM_CONSECUTIVE_WET_DAYS,ANNUAL_TOTAL_DRY_DAYS,MAXIMUM_CONSECUTIVE_DRY_DAYS,FROST_FREE_SEASON_START_DATE,FROST_FREE_SEASON_END_DATE,FROST_FREE_SEASON_LENGTH,CORN_HEAT_UNITS,GROWING_DEGREE_DAYS_BASE_0C,CANOLA_GROWING_DEGREE_DAYS_BASE_4C,FORAGE_CROPS_GROWING_DEGREE_DAYS_BASE_5C,CORN_AND_BEAN_GROWING_DEGREE_DAYS_BASE_10C,GROWING_DEGREE_DAYS_BASE_15C,FREEZE_THAW_CYCLES,FREEZING_RAIN_POTENTIAL
1,OBSERVED_TORONTO_AVERAGE,1971-2000,MEDIAN,7.9,-4.3,6.5,19.7,9.5,12.5,-0.4,11.3,25.1,13.8,3.4,-7.9,1.7,14.4,5.3,0.3,9.9,57.8,5,33.1,0.5,1.2,-,-,-,3.7,39.2,133.7,3933.9,256.7,753.4,156.8,189.3,197.6,208.3,37.3,50.2,4.9,11.2,21.9,8,211,13.4,05-Apr,19-Nov,233,3602.7,3426.4,2422.4,2200.5,1248.3,548,65.5,3.2
2,SSP2-4.5,1971-2000,10th_PERCENTILE,7.2,-6.3,4.9,18.9,8.7,11.7,-2.5,9.4,24,12.8,2.7,-10.1,0.4,13.7,4.5,0,3.5,43.1,1.7,31.3,0,0,28.7,3.3,0,0.2,21.6,113.7,3596.8,194.1,671.9,125.6,140.9,141.5,144.9,28.5,41.1,4.4,9.9,18.9,4.2,193.8,8.9,20-Mar,03-Nov,208,3376.7,3247.4,2273.4,2058.8,1138.1,464.9,49.8,0.4
3,SSP2-4.5,1971-2000,MEDIAN,8.1,-4.1,6.5,19.9,9.9,12.5,-0.5,11.2,25.1,14.1,3.6,-7.7,1.9,14.6,5.6,0,9.9,57.6,5.5,33.4,0.2,0.6,41.1,8.7,0.2,2.6,36.3,129.8,3887.6,269.9,795.1,171.3,199,204,207.6,37.4,55.2,5.1,11.9,22.8,5.4,207.2,11.9,05-Apr,18-Nov,230,3631.4,3465,2453.5,2231,1274.2,568.6,61.9,2.1
4,SSP2-4.5,1971-2000,90th_PERCENTILE,9,-1.9,8.2,21,11.2,13.5,1.5,13.2,26.5,15.5,4.6,-5.2,3.4,15.6,6.9,1.1,20.1,72.1,11.9,35.5,2.2,4.8,52.9,17.4,2,7.4,51.4,145.1,4173.5,357.5,919.3,227,265.3,277.5,286.4,60.8,80.6,5.7,13.8,27.7,7.1,220.1,16.9,16-Apr,02-Dec,268,3927.1,3706.6,2658.5,2425.5,1421.3,680.2,74.5,4.4
5,SSP2-4.5,2015-2040,10th_PERCENTILE,9.1,-3.8,6.8,20.6,10.5,13.4,-0.4,11.3,25.7,14.6,4.7,-7.3,2.2,15.4,6.2,0,11.5,66,7.4,33,0.2,0.5,49.4,11,0.2,0,7.5,87.5,3010,333.5,700.6,139.6,149.2,140.4,148.8,29.4,42.9,4.6,10.4,19.7,4.4,193.2,9.1,07-Mar,13-Nov,227.2,3907.2,3716.1,2658.3,2423.9,1417.4,663.3,41.9,0.4
6,SSP2-4.5,2015-2040,MEDIAN,10.1,-1.7,8.4,21.7,11.8,14.5,1.5,13.2,27.1,16.1,5.6,-5,3.7,16.3,7.4,1.1,23.9,83.1,15,35.4,1.8,5.1,63.1,22.1,2,0.2,18.7,106.5,3324.2,441.2,832.8,188,212.1,208.7,213.1,40.4,58.2,5.3,12.3,24.1,5.6,207.5,12,24-Mar,26-Nov,260.2,4250.4,3995.4,2899.8,2656.7,1600,798,54.5,2.3
7,SSP2-4.5,2015-2040,90th_PERCENTILE,11.2,0.3,10.2,23,13.3,15.7,3.3,15.2,28.7,18,6.7,-2.7,5.2,17.4,8.9,6.5,40.2,101,26.5,38.2,4.3,14.2,78.5,34.2,6.8,2.6,32.9,124.9,3629.2,582.6,989.5,256,282.9,293.9,294.8,63,86.7,6.2,14.8,29.6,7.6,220.3,16.8,08-Apr,14-Dec,314.9,4590.2,4293.9,3173.4,2923.7,1821.9,972.3,68.1,5.3
8,SSP2-4.5,2041-2070,10th_PERCENTILE,10.1,-2.7,7.8,21.5,11.4,14.4,0.6,12.2,26.6,15.6,5.7,-6,3.3,16.3,7.1,0.2,18.9,77.9,14,34.1,1.5,3.9,62,19.6,1.1,0,2.2,68.5,2618.5,441.3,733.9,140.5,158.9,138.3,152.1,31.8,46.6,4.8,10.7,20.8,4.4,192.5,9,28-Feb,16-Nov,243,4222,3994.1,2897.2,2650.1,1583.6,780.7,35,0.6
9,SSP2-4.5,2041-2070,MEDIAN,11.3,-0.4,9.5,22.9,12.8,15.7,2.6,14.3,28.3,17.2,6.8,-3.3,4.7,17.4,8.4,3.3,36.2,97.1,26,36.6,4.2,14.1,79,36.7,6.7,0,11.5,92.3,2939.9,615.9,871.5,198.9,224.5,212,225.3,42.4,62.4,5.5,12.9,25.2,5.6,207.4,12.1, March 19,01-Dec,290,4597.3,4325.1,3177.6,2922.1,1812.4,961.4,49.5,2.8
10,SSP2-4.5,2041-2070,90th_PERCENTILE,12.5,1.7,11.2,24.4,14.5,17,4.6,16.3,30.2,19.1,8,-1.1,6.1,18.7,10.1,13.2,58.5,116.2,40.3,39.4,7.2,28.4,97,55.1,15.8,0.9,24.6,113.1,3323.7,780.2,1021.9,268,298.5,301.9,306.9,67.8,92.2,6.3,15.5,31.2,7.6,220.1,17.2,06-Apr,18-Dec,340,4963.5,4662.8,3477.7,3215.1,2075.9,1175.8,63.7,6.5
